[2025-10-01 14:03:49] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-10-01 14:03:49, Temp: 29.6, Umid: 48.9
[2025-10-01 14:04:35] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-10-01 14:04:35, Temp: 28.6, Umid: 48.9
[2025-10-01 14:06:51] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-10-01 14:06:51, Temp: 29.6, Umid: 49.0
[2025-10-01 14:07:38] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-10-01 14:07:37, Temp: 28.1, Umid: 50.1
[2025-10-01 14:09:53] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-10-01 14:09:54, Temp: 29.5, Umid: 49.0
[2025-10-01 14:10:40] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-10-01 14:10:39, Temp: 27.7, Umid: 51.9
[2025-10-01 14:12:56] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-10-01 14:12:56, Temp: 29.1, Umid: 49.6
[2025-10-01 14:13:42] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-10-01 14:13:42, Temp: 27.5, Umid: 53.3
[2025-10-01 14:15:58] Dispositivo: Pico W_11f0bb, Leitura: 9, Horario: 2025-10-01 14:15:58, Temp: 29.2, Umid: 49.8
[2025-10-01 14:16:44] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-10-01 14:16:44, Temp: 27.2, Umid: 54.3
[2025-10-01 14:19:02] Dispositivo: Pico W_11f0bb, Leitura: 10, Horario: 2025-10-01 14:19:01, Temp: 29.2, Umid: 49.8
[2025-10-01 14:19:46] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-10-01 14:19:46, Temp: 26.9, Umid: 55.0
[2025-10-01 14:22:03] Dispositivo: Pico W_11f0bb, Leitura: 11, Horario: 2025-10-01 14:22:03, Temp: 29.0, Umid: 50.1
[2025-10-01 14:22:49] Dispositivo: Pico W_11f60f, Leitura: 9, Horario: 2025-10-01 14:22:49, Temp: 26.7, Umid: 55.6
[2025-10-01 14:25:05] Dispositivo: Pico W_11f0bb, Leitura: 12, Horario: 2025-10-01 14:25:05, Temp: 28.9, Umid: 50.5
[2025-10-01 14:25:51] Dispositivo: Pico W_11f60f, Leitura: 10, Horario: 2025-10-01 14:25:51, Temp: 26.7, Umid: 55.5
[2025-10-01 14:28:07] Dispositivo: Pico W_11f0bb, Leitura: 13, Horario: 2025-10-01 14:28:08, Temp: 28.9, Umid: 50.6
[2025-10-01 14:28:53] Dispositivo: Pico W_11f60f, Leitura: 11, Horario: 2025-10-01 14:28:53, Temp: 26.8, Umid: 55.2
[2025-10-01 14:31:09] Dispositivo: Pico W_11f0bb, Leitura: 14, Horario: 2025-10-01 14:31:10, Temp: 28.9, Umid: 50.6
